Row,SarA,agr,405,407,401,411,413,415,416,417,418,419
1,0.045,0.758,0.917,0.902,0.974,0.625,0.685,0.939,0.773,0.695,0.784,0.462
2,0.056,0.646,0.859,1.218,0.948,0.556,0.777,0.631,1.206,0.764,0.978,0.252
3,0.056,0.727,0.886,0.591,0.847,0.482,0.595,0.87,0.763,0.606,0.575,0.341
