SarA,agr,424,425,426,427,428,429,431,432,435,437,440,443
0.055,1.653,0.372,0.622,0.732,0.339,0.336,0.497,1.034,1.392,1.281,1.374,1.332,1.933
0.048,1.903,0.407,0.463,0.41,0.885,1.643,1.076,1.369,1.802,1.534,1.314,1.455,1.562
0.053,1.746,0.969,1.524,0.55,0.994,1.831,0.943,0.943,2.084,1.34,1.211,1.236,1.051
