Row,SarA,agr,369,370,372,376,377,378,379,383,384,385
1,0.045,0.616,0.646,0.862,0.894,0.897,0.697,0.885,0.688,0.803,0.162,0.7
2,0.046,0.355,0.647,0.728,0.527,1.057,1.04,0.815,0.493,1.06,0.558,0.644
3,0.045,0.403,0.518,0.84,0.66,0.757,0.624,0.716,0.448,0.687,0.744,0.811
