Row,SarA,agr,386,387,391,392,396,397,398,399,400,402
1,0.045,0.758,1.204,0.204,0.811,0.289,0.231,0.772,0.96,0.841,0.721,0.689
2,0.056,0.646,0.595,0.345,0.627,0.505,0.234,0.619,0.888,0.528,0.726,0.49
3,0.056,0.727,0.605,0.299,0.611,0.719,0.174,0.667,0.832,0.936,0.5,0.658
