Row,control,469,470,471,472,475,478,479,480
1,0.304,3.517,3.473,3.632,2.899,3.609,3.605,3.637,3.601
2,0.199,3.591,3.487,3.66,1.899,3.627,3.637,3.173,3.631
3,0.983,3.563,3.595,3.571,2.177,3.645,3.687,2.071,3.602
